,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,STATION_NAME
783021,4296807,849733421,01/16/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,992286.0,215574.0,40.758381891000056,-73.97099459299993,"(40.758381891000056, -73.97099459299993)",LEXINGTON AVENUE
783027,4296813,205796013,01/09/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,985145.0,203571.0,40.72544024600006,-73.99677244099996,"(40.72544024600006, -73.99677244099996)",BROADWAY/LAFAYETTE
783032,4296818,938576817,01/01/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,998335.0,192625.0,40.69538490700006,-73.94920807199999,"(40.69538490700006, -73.94920807199998)",MYRTLE-WILLOUGHBY AVENUES
783042,4296829,441232603,01/08/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,BROOKLYN,975627.0,163689.0,40.61596892200004,-74.03106073499998,"(40.61596892200004, -74.03106073499998)",95 STREET-BAY RIDGE
783061,4296850,889607137,01/07/2019,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,1012791.0,238814.0,40.822126997000055,-73.89688075599996,"(40.822126997000055, -73.89688075599996)",INTERVALE AVENUE
783072,4296862,482218873,01/12/2019,FORGERY,COMPLETED,FELONY,BRONX,1004749.0,240880.0,40.827819901000055,-73.92593075599996,"(40.827819901000055, -73.92593075599996)",161 ST.-YANKEE STADIUM
783095,4296890,975767823,01/16/2019,MISCELLANEOUS PENAL LAW,COMPLETED,VIOLATION,BRONX,1020937.0,254605.0,40.86543854800004,-73.86736232099996,"(40.86543854800004, -73.86736232099996)",ALLERTON AVENUE
783125,4296920,192506750,01/10/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,985733.0,203753.0,40.725939713000045,-73.99465099599996,"(40.72593971300005, -73.99465099599996)",BLEECKER STREET
783133,4296928,568169791,01/15/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,998181.0,231480.0,40.80203233000003,-73.94968294499995,"(40.80203233000003, -73.94968294499995)",116 STREET
783163,4296961,721157562,01/05/2019,FRAUDS,COMPLETED,MISDEMEANOR,MANHATTAN,997374.0,234664.0,40.81077276700007,-73.95259158999993,"(40.81077276700007, -73.95259158999993)",125 STREET
783164,4296962,424204952,01/01/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,1011722.0,261759.0,40.88510755100003,-73.90064910399997,"(40.88510755100003, -73.90064910399997)",238 STREET
783178,4296979,600402201,01/07/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,1002584.0,248715.0,40.84932945700007,-73.93373230599997,"(40.84932945700007, -73.93373230599997)",181 STREET
783207,4297010,567680434,01/10/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,MANHATTAN,991168.0,224929.0,40.784059874000036,-73.97502051299993,"(40.784059874000036, -73.97502051299993)",72 STREET
783286,4297100,567305408,01/14/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,1000989.0,245670.0,40.84097499400008,-73.93950511099996,"(40.84097499400008, -73.93950511099996)",168 ST.-WASHINGTON HTS.
783297,4297113,322953700,01/11/2019,FORGERY,COMPLETED,FELONY,BRONX,1013879.0,239551.0,40.82414626900004,-73.89294648299993,"(40.82414626900004, -73.89294648299993)",SIMPSON STREET
783332,4297159,300092645,01/14/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,986848.0,212883.0,40.75099904800004,-73.99062471199994,"(40.75099904800004, -73.99062471199994)",34 ST.-PENN STATION
783389,4297228,478763651,01/01/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,1000916.0,245710.0,40.84108492100006,-73.93976883999993,"(40.84108492100006, -73.93976883999993)",168 ST.-WASHINGTON HTS.
783391,4297230,858503100,01/16/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,985457.0,210372.0,40.744107281000026,-73.99564557899998,"(40.744107281000026, -73.99564557899998)",23 STREET
783441,4297292,870335774,01/10/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,988451.0,217993.0,40.765024079000064,-73.98483594999993,"(40.76502407900006, -73.98483594999993)",59 ST.-COLUMBUS CIRCLE
783446,4297299,179507720,01/07/2019,ROBBERY,COMPLETED,FELONY,BROOKLYN,1005571.0,181640.0,40.66521910700004,-73.92314834999998,"(40.66521910700004, -73.92314834999998)",SUTTER AVENUE-RUTLAND ROAD
783479,4297339,709889813,01/10/2019,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,997981.0,183327.0,40.669864569000026,-73.95050361299997,"(40.669864569000026, -73.95050361299997)",NOSTRAND AVENUE
783485,4297345,237154039,01/01/2019,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,998335.0,192625.0,40.69538490700006,-73.94920807199999,"(40.69538490700006, -73.94920807199998)",MYRTLE-WILLOUGHBY AVENUES
783503,4297365,966554571,01/05/2019,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,BROOKLYN,987924.0,194862.0,40.70153539700004,-73.98675103399995,"(40.70153539700004, -73.98675103399995)",YORK STREET
783514,4297378,341288157,01/04/2019,GRAND LARCENY,COMPLETED,FELONY,BRONX,1031314.0,260486.0,40.881530834000046,-73.82980381899995,"(40.881530834000046, -73.82980381899995)",BAYCHESTER AVENUE
783605,4297489,674417589,01/14/2019,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,990146.0,188389.0,40.683767303000025,-73.978742975,"(40.683767303000025, -73.978742975)",PACIFIC STREET
783613,4297498,176644324,01/16/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,1014333.0,211391.0,40.74685309800003,-73.89143220299998,"(40.74685309800003, -73.89143220299998)",74 ST.-BROADWAY
783662,4297554,761521842,01/11/2019,DANGEROUS WEAPONS,COMPLETED,MISDEMEANOR,MANHATTAN,987078.0,215157.0,40.757240531000036,-73.98979363699993,"(40.757240531000036, -73.98979363699993)",42 ST.-PORT AUTHORITY BUS TERM
783710,4297604,502885475,01/02/2019,DANGEROUS DRUGS,COMPLETED,FELONY,MANHATTAN,985126.0,207917.0,40.73736895500008,-73.99684042399997,"(40.73736895500008, -73.99684042399997)",14 STREET
783730,4297626,428517166,01/10/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,989284.0,211217.0,40.74642524500007,-73.98183391399994,"(40.74642524500007, -73.98183391399994)",33 STREET
783736,4297632,332380366,01/10/2019,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,MANHATTAN,996551.0,223272.0,40.77950599700007,-73.95558550399994,"(40.77950599700006, -73.95558550399994)",86 STREET
783762,4297668,695909772,01/02/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,985819.0,187385.0,40.68101337500008,-73.99434453099997,"(40.68101337500008, -73.99434453099997)",CARROLL STREET
783769,4297678,400579980,01/07/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,986256.0,181739.0,40.665516282000056,-73.99277063999993,"(40.665516282000056, -73.99277063999993)",PROSPECT AVENUE
